3,Man posts Salman's pic with red cross as death threat; police launch probe,"The Rajasthan Police has said they are investigating death threats against Salman Khan ahead of his court hearing in the blackbuck poaching case later this week. The threat, which carried a photo of Salman with a red cross, was posted on Facebook from an account named Garry Shooter. ''People have alleged...a gang [named] '007' is behind it,"" said police.",ANI,"Jodhpur (Rajasthan) [India], Sept 25 (ANI): The Rajasthan Police on Tuesday said that they are investigating the alleged death threats received by Bollywood actor Salman Khan ahead of his court hearing in the blackbuck poaching case here later this week.""We are trying to ascertain the identity of those behind it. If we get any input, we will neutralise the threat proactively,"" Deputy Commissioner of Police (DCP), D Singh said, adding that preventive action will be taken before any untoward incident takes place.The threat, which carried a photo of Salman Khan with a red cross, was posted on Facebook by an account named Gary Shooter. ""People have alleged that a gang which goes by name ""007"" is behind it. Whether the threats are given by the members of this gang or not is yet to be ascertained,"" said Singh.Khan, who is accused in the case, is expected to appear before a Jodhpur court on September 27.In 1998, Salman Khan, Saif Ali Khan, Sonali Bendre, Tabu, Neelam Kothari and a local Dushyant Singh had allegedly killed two blackbucks in Jodhpur during the shooting of his 1998 blockbuster 'Hum Saath Saath Hain'. (ANI)",https://www.aninews.in/news/national/general-news/blackbuck-poaching-case-salman-khan-receives-death-threat-police-initiates-probe20190925031226/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
7,"Infosys world's 3rd best regarded firm; beats Apple, Disney: Forbes","Bengaluru-based Infosys ranked 3rd on Forbes' ""The World's Best Regarded Companies 2019 List"" behind Visa and Ferrari, jumping to the spot from 31st position in 2018. The IT giant was put ahead of global companies including Netflix, Microsoft and Walt Disney in the top 10, while Apple ranked 11. The list, comprising 250 firms, included up to 17 Indian companies.",The News Minute,"Information technology giant Infosys is the world’s third best regarded company, according to a list of the 2000 best regarded companies released by Forbes. Only Visa and Ferrari were ahead of Infosys, and Bengaluru-based Infosys beat out Apple, Siemens, Walt Disney and others for the position.Forbes termed Infosys’s position in the rankings as headlining an ‘Asian invasion’ and said that while 59 of 250 companies listed are based in the USA, the next three countries are Japan, China and India, with a total of 82 companies from the three countries.Last year, it ranked 31. Previously, Infosys was listed in the Best Employers for New Grads 2019 at the 205th position. It was ranked 44 in the Forbes’ 2018 list of Top 100 digital companies and 46 in the top multinational performers in 2017.Founded in 1981 by Narayana Murthy, Bengaluru-based Infosys is second-largest software exporter by revenue in India. It clocked revenues of $11.6 billion in FY19.  The company is listed on New York Stock Exchange (NYSE) in the US and on the Bombay Stock Exchange (BSE) in Mumbai. The company has 204,107 employees and 1,279 clients as of March 2019.Other Indian companies on the list include Tata Consultancy Services at 22, Tata Motors at 31, Tata Steel at 105, Larsen & Toubro at 115, Mahindra and Mahindra at 117, HDFC at 135, and Bajaj Finserv at 143. Wipro stood at 168.Companies in the top 10 apart from Visa, Ferrari and Infosys are Netflix, Paypal, Microsoft, Walt Disney, Toyota Motors, Mastercard and Costco Wholesale. Walt Disney was at first position last time.Forbes said that it partnered with statistics portal Statista to hack down the list of 2,000 companies to 250 —- and that the companies were ranked on trustworthiness and honesty, social conduct, how they fare as employers, and strength of their products and services. According to Forbes, while the list touches upon every major industry, car manufacturers featured most prominently.",https://www.thenewsminute.com/article/infosys-ranks-3rd-forbes-list-world-s-best-regarded-companies-109405?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
8,"iOS 13, iPadOS bug gives full access to some third-party keyboards","Apple on Tuesday revealed an iOS 13 and iPadOS bug that could grant full system access to third-party keyboards which have the ability to request ""full access"" permissions. The bug may allow full access permission even if it was not approved, Apple warned. ""This issue does not impact Apple's built-in keyboards,"" the iPhone maker further added.",TechCrunch,"Apple  is warning users of a bug in iOS 13 and iPadOS involving third-party keyboards.In a brief advisory posted Tuesday, the tech giant said the bug impacts third-party keyboards which have the ability to request “full access” permissions.iOS 13 was released last week. Both iOS 13.1 and iPadOS 13.1, the new software version for iPads, are out today.Third-party keyboards can either run as standalone, or with “full access” they can talk to other apps or get internet access for additional features, like spell check. But “full access” also allows the keyboard maker to capture to its servers keystroke data or anything you type — like emails, messages or passwords.This bug, however, may allow third-party keyboards to gain full access permissions — even if it was not approved.Apple didn’t say much more about the problem. A spokesperson did not comment beyond the advisory. But the advisory said that the bug doesn’t affect iOS’ in-built keyboard.Update on Sept. 27: iOS 13.1.1 and iPadOS 13.1.1, released Friday, fixes the keyboard issue, according to an updated security advisory. Apple credited its own staff for discovering the keyboard-related logic vulnerability.iOS, iPadOS and tvOS 13.1 updates are now available",https://techcrunch.com/2019/09/24/apple-bug-full-access-keyboards/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
11,OYO may raise up to $1 billion at $13.5-15 billion valuation,Gurugram-based budget hospitality startup OYO is reportedly in talks to raise $750 million to $1 billion in fresh funds to infuse in its parent company Oravel Stays. The funding could reportedly be led by Japanese conglomerate SoftBank and OYO's valuation is expected to reach $13.5-15 billion post-funding. OYO will reportedly use the funds towards its five-star and luxury properties worldwide.,TechCircle,"TechCircle brings you a round-up of technology investments and M&A deals reported from across newsrooms.Rebel FoodsUber co-founder Travis Kalanick is in talks to pick up a minority stake in Pune-based multi-brand cloud kitchen player Rebel Foods, earlier known as Faasos, multiple media reports said.After exiting Uber in 2017 as its CEO, Kalanick took over real estate company City Storage Systems, which is making the investment in Rebel Foods.The investment is part of the ongoing $125 million funding round for Rebel, the reports said.Rebel Foods, founded by Jaydeep Barman and Kallol Banerjee, operates brands like Behrouz Biryani, Oven Story, Faasos, The Good Bowl and Sweet Truth, which are available across food delivery platforms like Zomato and Swiggy.Last month, Rebel Foods was in talks to raise $76 million in Series D from Coatue Management, a technology focussed hedge fund headquartered in California and other investors.OYOGurugram-based OYO Hotels & Homes is looking to raise $750 million to $1 billion in fresh funds to infuse in its parent company Oravel Stays, according to multiple media reports.Reports said Japan-based SoftBank Group is expected to lead the funding round.The valuation of OYO is expected to reach $13.5 billion-$15 billion post-funding and the company will use the funds for diversification and operation of its five-star and luxury properties across the world.OYO was already in talks with financial institutions to borrow $200 million to buy premium hotels in the United States.The company also proposed to buyback shares worth $1.5 billion from early investors this month.It recently announced its presence in 60 US cities with over 100 hotels.",https://www.techcircle.in/2019/09/24/deal-talk-uber-co-founder-travis-kalanick-to-invest-in-rebel-foods-oyo-to-raise-1-bn?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
12,OYO's revenue grew 4.4 times in a year by June 2019: CEO,"India's most valuable budget hospitality startup OYO's Founder and CEO Ritesh Agarwal, speaking with The Financial Express, revealed that the startup's revenue grew 4.4 times year-over-year in June 2019. ""The losses as a percentage of NRV (net realised value) have been on a steady and significant declining curve,"" he added. OYO is yet to officially file its FY19 financial results.",The Financial Express,"Founded in 2013 with a single hotel, OYO Hotels & Homes has been on an expansion mode widening its footprint to 80 countries. Earlier this year, founder and group CEO Ritesh Agarwal made news for buying back shares worth $2 billion from existing investors. Agarwal talks to FE’s Asmita Dey about company’s financials and focus areas. Edited excerpts:It has been a while since the OYO-Airbnb deal has been announced. How has the collaboration shaped up? What opportunities did it create for OYO?We are happy to have Airbnb as an investor and our partner. Airbnb’s strong global footprints and access to local communities open up new opportunities for OYO Hotels & Homes to strengthen and grow. Thousands of OYO’s vacation homes across the globe can now be listed on Airbnb.How has FY19 been in terms of numbers? Were you able to notch revenues (India) of over Rs 1,400 crore as estimated? What is your revenue target for FY20?Our financial results for FY2018-19 are yet to be filed with the Registrar of Companies. However, CY2019 has been promising. We are happy to share the company has seen a 4.4 times year-on-year growth in revenue in June 2019 (vs June 2018), with over 1 million rooms under management across hotels and homes globally and over 270,000 rooms in India alone. We also had a stellar 2018 in India with more than 1,72,000 fully controlled and leased keys as at December 2018 with realised value run-rate of $1.2 billion.By when are you eyeing profitability?We are not profitable at a group level as we have been investing in technology, talent and hotel infrastructure improvements in our buildings. The losses as a percentage of NRV (net realised value) have been on a steady and significant declining curve.Could you shed some light on your overseas IPO plans?We are focused on our mission of making #LivingTheGoodLife a reality for over 3.2 billion middle-income people around the world. That is our focus in the foreseeable future. We don’t have any further comments.How much cash are you burning now? Which are the most cash-heavy markets in your kitty?I would like to clarify that unlike e-commerce businesses, we do not spend a lot on customer acquisition. Our investments are mainly in three areas — capex, talent acquisition and technology.You bought back shares worth $2 billion from Lightspeed and Sequoia? What led you to this move? How much has your stake in OYO increased to post this buyback?The company’s strong growth, improved margins, superior improvements in customer experience gave me the confidence to take this decision. The $2-billion primary and secondary management investment round is spearheaded by me with support from financial partners, subject to regulatory and shareholder approval. The capital will be utilised to maintain our strong market position in India and China, strengthen our footprint in southeast Asia, Middle East, growing our business in Europe and the US while creating a niche for our vacation homes business globally.You seem to be on an international expansion spree. Which other countries are you looking to enter further in the near future? Any plans to raise further funds to propel your foreign foray?Currently, we have over 23,000 hotels and 125,000 vacation homes across 800 cities in 80 countries globally. There are many countries which are still on the drawing board and we are evaluating the business potential. At the moment, we are continuing to grow our footprints in SEA, ME, Europe and the USA. We have a healthy and strong balance sheet and are committed to continue making forward-looking investments. We have nothing further to announce at the moment.Get live Stock Prices from BSE and NSE and latest NAV, portfolio of Mutual Funds, calculate your tax by Income Tax Calculator, know market’s Top Gainers, Top Losers & Best Equity Funds. Like us on Facebook and follow us on Twitter.",https://www.financialexpress.com/industry/sme/oyo-has-seen-4-4-times-y-o-y-growth-in-revenue-in-june-2019-says-founder-and-group-ceo-ritesh-agarwal/1716555/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
14,PhonePe takes BharatPe to Delhi HC over trademark infringement,"Payments service provider PhonePe, owned by Flipkart-parent Walmart, has registered a trademark infringement case in Delhi High Court against BharatPe, accusing it of illegally using the suffix ""Pe"". PhonePe has also sought an injunction order, which wasn't granted in its last hearing. PhonePe had issued a notice to BharatPe last year, following which BharatPe changed its logo and colour scheme.",Entrackr,"The Indian startup ecosystem has seen several high profile cases of trademark infringement in the past two years. Right from Flipkart, to Paytm, Bigbasket, and EaseMyTrip, these firms have been dragged to court either for running a private label or products with a similar brand name to others.While the companies above have managed to settle their respective cases, another case of trademark infringement has been registered in Delhi High Court, where two leading players in the merchant UPI ecosystem are at loggerheads.According to a TOI report, PhonePe has accused BharatPe of illegal usage of ‘Pe’ as a suffix in its app in English as well as in Hindi.Claiming trademark rights over the name, PhonePe has also sought an injunction order in a lawsuit against BharatPe. In this case, senior advocate Kapil Sibal’s son Amit Sibal, who is representing PhonePe, demanded an injunction restraining infringement of trademark, passing off, and damages.However, the court did not grant an injunction on PhonePe’s original appeal. The matter will be heard on October 9.This is not the first instance where both companies are locking horn against each other. Previously, PhonePe had sent legal notice to Sequoia-backed company over the logo.According to PhonePe, protection of its brand, which is valued over $7 billion, is utmost important. BharatPe has not released any official statement on the matter.Since the matter is sub judice, any assumption regarding the case would be unfair. A year-old startup, BharatPe has emerged as one of the fastest-growing fintech company focusing on offline merchants and retailers, a territory where PhonePe and Paytm have sheer domination. The Ashneer Grover-led company does around 20 million peer-to-merchant transactions per month and targeting 30 million transactions every month by Diwali.",https://entrackr.com/2019/09/phonepe-drags-bharatpe-delhi-hc-trademark-infringement/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
15,Won't allow driverless cars in India as it can take away jobs: Gadkari,"Minister of Road Transport and Highways Nitin Gadkari has said he won't allow driverless cars in India. ""I was asked whether I oppose new technology. I said not at all,"" he added. ""There are 40 lakh drivers in [India] and a shortage of 25 lakh drivers. I'll not let the jobs of 1 crore people be snatched away,"" Gadkari said.",Livemint,"“Given the overall socio-economic benefits of autonomous transport and the strong entrepreneurial ecosystem, India could become an important AV (autonomous vehicle) market in the long term. But at present, on technology and innovation it scores minimally for lack of patents and investments and low usage of electric cars,"" the report said.",https://www.livemint.com/news/india/driverless-cars-won-t-be-allowed-in-india-says-nitin-gadkari/amp-1569379861072.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
16,NASA successfully launches 17-year-old Indian student's satellite,NASA successfully launched the RamanSat 2 miniature satellite designed by 17-year-old student Aabhaas Sikka on Monday night. The satellite was developed by Sikka during his internship with SPACE India with help from SPACE Group Founder and CMD Sachin Bahmba along with the company's research team. It is carrying equipment to measure the radiation from Sun and space.,YourStory,"RamanSat 2, a miniature satellite made by Aabhaas Sikka, a 17-year-old student, was successfully launched by NASA. The satellite, which measures 4 cm x 4 cm x 4 cm, was developed by Sikka, during his internship with SPACE-India, an organisation working in the field of astronomy, space education and technology. SPACE-India also provides the necessary training and guidance to young innovators.RamanSat 2 was developed with help from Sachin Bahmba, Founder and CMD of SPACE Group, along with the company’s research team.From Left to right: Vivek Srivastava, Vikrant Narang, Sachin Bahmba, Aabhaas Sikka.The miniature satellite is carrying state-of-the-art equipment, which will measure the radiation from the sun and space. The experiment intends to make exploration of space safer for humans and satellites.It is significant as India is preparing to send astronauts into space in its first human space flight mission Gaganyaan in 2022.A view of earth from the edge of space captured by NASA's balloon which carried the experiments by students. The fully Inflated balloon is seen on the right. ( Image:Idoodleedu Inc )Speaking on the same, Bahmba said,The idea to develop the satellite came at a time when earlier this year, Idoodleedu Inc., a US-based firm working in partnership with NASA, announced an international competition, ‘Cubes in Space.’A view of the NASAs gondola seen with the student’s experiments strapped on prior to flight. (Image: Idoodleedu Inc)The competition provided an opportunity for students to build their experiments, which are then flown to space. Out of the 350 experiment proposals submitted by the participants, 160 were selected to be flown by NASA. This included two experiment proposals submitted by SPACE-India.RamanSat 2 follows the success of Kalam Sat, named after former Indian President APJ Abdul Kalam, and built by an Indian high school team from Chennai, that participated in the same programme in 2017.(Edited by Suman Singh)",https://yourstory.com/2019/09/student-satellite-ramansat-2-nasa-aabhaas-sikha?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
20,Bill Barney resigns as CEO from Anil Ambani's RCom; to continue at GCX,"Bill Barney on Tuesday stepped down as CEO of Reliance Communications (RCom) to focus full time at the helm of Global Cloud Xchange (GCX) during its corporate restructuring process. Reliance Communications' subsidiary GCX, which makes undersea cable systems, had filed for bankruptcy in the US last week.",The Financial Express,"Global Cloud Xchange on Tuesday said that Bill Barney has stepped down as CEO of Reliance Communications to focus full time at the helm of GCX during its corporate restructuring process. Reliance Communications’ subsidiary, Global Cloud Xchange Limited (GCX), had filed for bankruptcy in the US, last week.“GCX today announced that Bill Barney, CEO of Reliance Communications and Chairman and CEO of Global Cloud Xchange has resigned his RCOM role to focus full time at the helm of GCX during its corporate restructuring process,” GCX said in a statement posted on its website.On September 16, the GCX had said that it has initiated voluntary, pre-packaged Chapter 11 restructuring with support from over 75 per cent of lenders. In the statement on Tuesday, Barney said: “With GCX’s recent voluntary Chapter 11 filing, it will be in the best interest of both RCOM and GCX for me to step down at this time to focus on GCX restructuring”.“Upon emergence from this process, GCX expects to be well-positioned to aggressively pursue our business plan independent of the overhang caused by our corporate parent’s challenges,” Barney added.Get live Stock Prices from BSE and NSE and latest NAV, portfolio of Mutual Funds, calculate your tax by Income Tax Calculator, know market’s Top Gainers, Top Losers & Best Equity Funds. Like us on Facebook and follow us on Twitter.",https://www.financialexpress.com/industry/bill-barney-resigns-as-rcom-ceo-to-continue-at-gcx/1716391/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
21,Deepika Padukone attends Dior's show at Paris Fashion Week,"Actress Deepika Padukone on Tuesday attended luxury brand Dior's fashion show at the Paris Fashion Week. Deepika opted for a floral printed strapless gown with a brown headband of the same print and mesh patterned long boots at Dior's Spring/Summer show. She accessorised her look with a Dior handbag, golden jewellery and pulled her hair up into a bun.",Times Now,"Just another day with Deepika Padukone shelling out some fashion goals for us. From making neon look cool at the airport to adding some glamour to basic blue jeans to turning up like a glam goddess on the red-carpet, Deepika always makes our heads turn with her chic and effortless fashion choices. The diva has now jetted off to Paris to attend Dior's fashion show. Ahead of the show, Deepika went on to share her look from the show and count on Bollywood's Rani Padmavati to make brown look so fashionable. Deepika opted for a strapless brown gown with yellow and white floral and an elaborate bow detail. She teamed this with a matching headband and pulled her hair up into a messy bun. With a brown layer, DeePee finished her look with layered gold necklaces and a Dior clutch. With a thin stroke of eyeliner and dewy skin, Deepika looked beautiful. But undoubtedly, the highlight of her look are her lace tie-up boots. Only Deepika can make such a risque shade look so chic and stylish. Check out all the pictures here:   
 On the work front, Deepika has just finished filming for Kabir Khan's next film, 83 along with beau Ranveer Singh. The couple will also be essaying the role of on-screen husband and wife in this film where Ranveer will be seen as Kapil Dev and Deepika as Romi Dev. Deepika will also be seen in Meghna Gulzar's next project, Chhappak alongside Vikrant Massey. Turning producer with this project, Deepika will be seen essaying the role of acid-attack survivor Laxmi Agarwal. The Paris Fashion Week begins on September 24 and goes on until October 1. While we wait to see all the trends being set in the fashion capital of the world, stay tuned for all the updates on entertainment, fashion, and lifestyle. ",https://www.timesnownews.com/entertainment/fashion/article/pics-deepika-padukone-looks-nothing-less-than-a-showstopper-at-diors-fashion-show-in-paris/494444?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
